Wandb run started
Optimizers Created
Dataloader reset
Beginning Training
====================================================================================================
Model Parameters: 32.1M
{'d_model': 256, 'n_heads': 8, 'n_layers': 8, 'vocab_size': 50304, 'seq_len': 128, 'r': 4, 'p': 2, 'max_steps': 1000000, 'batch_size': 32, 'adam_lr': 0.0003, 'muon_lr': 0.0003}
====================================================================================================
step 2160 | loss 6.7732 | norm 1293.9076 | time 1899.9095ms
step 2170 | loss 6.7393 | norm 1.9059 | time 1898.1040ms
step 2180 | loss 6.7208 | norm 10.1113 | time 1898.9928ms
step 2190 | loss 7.0812 | norm 122.2575 | time 1898.4542ms
step 2200 | loss 6.7367 | norm 116.1010 | time 1900.1389ms
step 2210 | loss 7.3380 | norm 1.6026 | time 1896.2567ms
step 2220 | loss 7.0937 | norm 6.9538 | time 1897.6650ms
step 2230 | loss 6.5854 | norm 1.8549 | time 1898.3543ms
step 2240 | loss 7.1005 | norm 1.5641 | time 1898.7532ms
step 2250 | loss 7.0003 | norm 5.9456 | time 1898.8674ms
step 2260 | loss 6.4375 | norm 2.2121 | time 1897.9583ms
step 2270 | loss 6.6468 | norm 2.1173 | time 1898.5989ms
step 2280 | loss 6.7385 | norm 2.2506 | time 1895.3068ms
step 2290 | loss 6.8884 | norm 1.7465 | time 1898.5972ms
step 2300 | loss 6.4018 | norm 2.3026 | time 1899.7257ms
step 2310 | loss 6.7013 | norm 1.6592 | time 1898.5877ms
step 2320 | loss 7.2355 | norm 273046.0000 | time 1897.6576ms
step 2330 | loss 6.3078 | norm 1.9348 | time 1899.5092ms
step 2340 | loss 6.4923 | norm 2.2687 | time 1896.7445ms
step 2350 | loss 6.6468 | norm 1.7498 | time 1898.9155ms
step 2360 | loss 6.7556 | norm 1.6234 | time 1897.6955ms
step 2370 | loss 6.3949 | norm 2.1088 | time 1899.2782ms
step 2380 | loss 6.4224 | norm 7909.1724 | time 1898.9077ms
step 2390 | loss 6.6023 | norm 1.6477 | time 1897.7039ms
step 2400 | loss 6.5289 | norm 5.2603 | time 1898.3338ms
step 2410 | loss 6.9388 | norm 6676029.5000 | time 1897.1345ms
step 2420 | loss 7.1847 | norm 2.2986 | time 1898.5622ms
step 2430 | loss 6.9428 | norm 204.4570 | time 1896.8024ms
step 2440 | loss 7.1551 | norm 69.6912 | time 1898.6766ms
step 2450 | loss 6.2826 | norm 1.5565 | time 1895.9198ms
step 2460 | loss 6.6688 | norm 60.0487 | time 1898.6855ms
step 2470 | loss 6.5850 | norm 1.7192 | time 1896.6637ms
Dataloader now on shard 1 of 11
step 2480 | loss 6.4369 | norm 1.7095 | time 1902.7672ms
step 2490 | loss 6.4431 | norm 1.8759 | time 1897.6214ms
step 2500 | loss 6.7628 | norm 1.4613 | time 1897.3620ms
step 2510 | loss 6.7266 | norm 460.2299 | time 1897.5847ms
step 2520 | loss 6.6674 | norm 724.3560 | time 1900.2013ms
step 2530 | loss 6.6861 | norm 9.3725 | time 1899.0402ms
step 2540 | loss 6.7975 | norm 2.2987 | time 1899.7238ms
step 2550 | loss 6.6758 | norm 6.6878 | time 1899.3425ms
step 2560 | loss 6.5672 | norm 87353560.0000 | time 1897.3053ms
step 2570 | loss 6.4622 | norm 156.0469 | time 1900.3503ms
step 2580 | loss 6.8622 | norm 2.2249 | time 1900.0435ms
step 2590 | loss 6.6066 | norm 1.4622 | time 1902.0505ms
step 2600 | loss 7.1278 | norm 1.4874 | time 1900.7215ms
step 2610 | loss 6.8302 | norm 1848.8854 | time 1900.5334ms
step 2620 | loss 6.5516 | norm 4521.6562 | time 1898.5331ms
step 2630 | loss 6.8283 | norm 169.7050 | time 1900.0642ms
step 2640 | loss 6.1260 | norm 1.7693 | time 1897.6119ms
step 2650 | loss 6.8946 | norm 2.7223 | time 1898.4482ms
step 2660 | loss 6.6637 | norm 19.2384 | time 1900.0881ms
step 2670 | loss 6.0375 | norm 22.2123 | time 1902.1964ms
step 2680 | loss 6.6851 | norm 3.9635 | time 1898.6564ms
step 2690 | loss 6.6348 | norm 1.6324 | time 1898.1893ms
step 2700 | loss 6.4421 | norm 3.4067 | time 1899.6458ms
step 2710 | loss 6.6768 | norm 1278.9176 | time 1896.4958ms
step 2720 | loss 6.6093 | norm 1340.2488 | time 1901.0732ms
step 2730 | loss 6.8810 | norm 24.4014 | time 1900.5287ms
step 2740 | loss 6.6963 | norm 11.6950 | time 1897.4516ms
step 2750 | loss 6.6731 | norm 7370.7168 | time 1897.1126ms
step 2760 | loss 7.1925 | norm 2.6662 | time 1896.2739ms
step 2770 | loss 6.5387 | norm 1297.9496 | time 1898.9623ms
step 2780 | loss 6.8561 | norm 46465.1172 | time 1900.9118ms
step 2790 | loss 7.1332 | norm 23.9000 | time 1897.8448ms
step 2800 | loss 6.8628 | norm 21288.2871 | time 1899.7788ms
step 2810 | loss 7.3239 | norm 95324.4844 | time 1899.5135ms
step 2820 | loss 6.4560 | norm 3163.0876 | time 1902.1270ms
step 2830 | loss 6.3888 | norm 369.6194 | time 1898.9687ms
step 2840 | loss 6.8079 | norm 1.8064 | time 1899.6172ms
step 2850 | loss 6.6607 | norm 9398.6367 | time 1895.8178ms
step 2860 | loss 6.6997 | norm 862.0901 | time 1896.0772ms
step 2870 | loss 6.8391 | norm 1620.7407 | time 1899.7829ms
step 2880 | loss 7.1116 | norm 831501.3125 | time 1898.9334ms
step 2890 | loss 7.3944 | norm 534.2549 | time 1897.2092ms
step 2900 | loss 7.1599 | norm 112.2686 | time 1898.6650ms
step 2910 | loss 7.3478 | norm 67.0476 | time 1898.7601ms
step 2920 | loss 7.2729 | norm 6685811.0000 | time 1897.8589ms
step 2930 | loss 8.0830 | norm 64674.0625 | time 1900.2466ms
step 2940 | loss 7.2872 | norm 1891.3677 | time 1898.5071ms
step 2950 | loss 7.8111 | norm 29853.6094 | time 1897.7334ms
step 2960 | loss 7.9078 | norm 57289.0156 | time 1898.8287ms
step 2970 | loss 7.6609 | norm 117892.7109 | time 1898.0253ms
step 2980 | loss 7.8004 | norm 4031026.2500 | time 1897.7282ms
step 2990 | loss 7.6537 | norm 3405.0159 | time 1905.4518ms
step 3000 | loss 7.6508 | norm 42788.9727 | time 1899.8671ms
step 3010 | loss 7.7056 | norm 595453.3125 | time 1899.4203ms
step 3020 | loss 7.6727 | norm 82210.9375 | time 1899.6615ms
step 3030 | loss 7.8276 | norm 428673.0625 | time 1901.5512ms
step 3040 | loss 7.3954 | norm 15824.4424 | time 1905.1547ms
step 3050 | loss 6.9621 | norm 1262760.6250 | time 1898.4134ms
step 3060 | loss 7.2526 | norm 243674.9688 | time 1901.4339ms
step 3070 | loss 7.2507 | norm 1292194.5000 | time 1899.8363ms
step 3080 | loss 7.7716 | norm 267307.1875 | time 1900.0607ms
step 3090 | loss 7.6238 | norm 1899348.0000 | time 1897.2008ms
